25,933,3055
44,920,3037
11,920,2987
59,920,2922
15,919,3005
21,917,3035
55,915,3029
19,913,3019
30,913,2959
34,911,2951
49,909,3007
40,908,2993
6,906,2966
9,897,2956
10,850,1958
16,846,2039
5,843,2075
23,842,2010
39,835,1951
50,834,1982
31,833,2005
41,833,1984
20,831,2056
14,831,2046
35,831,2033
58,828,2010
24,828,2005
29,825,2026
54,824,2008
53,824,1992
36,821,1962
1,818,1958
48,817,2050
4,817,1993
45,811,1988
26,809,1938
8,627,1041
51,625,1009
46,624,1020
56,618,991
7,613,1002
52,610,1018
18,610,984
38,608,978
33,600,974
2,600,960
42,598,957
28,594,1012
43,590,981
17,589,982
3,0,0
12,0,0
13,0,0
22,0,0
27,0,0
32,0,0
37,0,0
47,0,0
57,0,0
